,Dzielnica,Cena,Ulica,Powierzchnia,Cena_za_m2,lat,lon
276,Podgórze,816215,Kiełkowskiego,57.7,14145.84,50.0450968,19.9691749
277,Podgórze,816215,Kiełkowskiego,57.7,14145.84,50.0450968,19.9691749
278,Bieżanów-Prokocim,361000,Domagały,25.4,14212.6,50.0323636,20.0519058
279,Bieżanów-Prokocim,361000,Domagały,25.4,14212.6,50.0323636,20.0519058
280,Łagiewniki - Borek Fałęcki,855000,Totus Tuus,57.0,15000.0,50.0134344,19.9418804
281,Łagiewniki - Borek Fałęcki,1148000,Totus Tuus,82.0,14000.0,50.0134344,19.9418804
282,Podgórze,696844,Jerozolimska,47.3,14732.43,50.0366597,19.966316
283,Podgórze,1018368,Jerozolimska,70.2,14506.67,50.0366597,19.966316
284,Podgórze,698640,Rydlówka 30-363,50.0,13972.8,50.0352782,19.9349524
285,Podgórze,1158529,Rydlówka 30-363,82.6,14025.77,50.0352782,19.9349524
286,Dębniki,592848,Kobierzyńska,43.0,13787.16,50.0344719,19.925098
287,Dębniki,1550648,Kobierzyńska,74.1,20926.42,50.0344719,19.925098
288,Dębniki,470940,Pychowicka,28.2,16700.0,50.0334586,19.9220979
289,Dębniki,1554370,Pychowicka,87.7,17723.72,50.0334586,19.9220979
290,Podgórze Duchackie,649000,Sławka,36.6,17732.24,50.0205244,19.9601785
291,Podgórze Duchackie,1294000,Sławka,84.3,15349.94,50.0205244,19.9601785
292,Dębniki,653520,Na Ustroniu,31.1,21013.5,50.046101,19.9317678
293,Dębniki,2820490,Na Ustroniu,122.6,23005.63,50.046101,19.9317678
294,Podgórze,1267000,Romanowicza 6A,61.5,20601.63,50.0470587,19.9637186
295,Podgórze,3028680,Romanowicza 6A,161.9,18707.1,50.0470587,19.9637186
296,Podgórze,499001,Rydlówka 30-363,25.3,19723.36,50.0352782,19.9349524
297,Podgórze,1104400,Rydlówka 30-363,62.8,17585.99,50.0352782,19.9349524
298,Podgórze,1732200,Romanowicza 6,84.8,20426.89,50.0456006,19.9626477
299,Podgórze,3028680,Romanowicza 6,161.9,18707.1,50.0456006,19.9626477
300,Podgórze,751812,Kalwaryjska 74,40.0,18795.3,50.0389611,19.941212489594783
301,Podgórze,3542160,Kalwaryjska 74,147.6,23998.37,50.0389611,19.941212489594783
302,Podgórze,698987,Orawska,42.4,16485.54,50.0410216,19.9383837
303,Podgórze,2652160,Orawska,94.7,28005.91,50.0410216,19.9383837
304,Dębniki,4970000,Barska 8,143.0,34755.24,50.0518627,19.9286289
305,Grzegórzki,638000,Kołłątaja 12,34.5,18492.75,50.0608344,19.9492941
306,Grzegórzki,1049000,Kołłątaja 12,60.6,17310.23,50.0608344,19.9492941
307,Prądnik Czerwony,860950,Śliczna,70.6,12194.76,50.0726476,19.9774242
308,Prądnik Czerwony,1340950,Śliczna,120.8,11100.58,50.0726476,19.9774242
309,Prądnik Czerwony,510843,Bohomolca,36.2,14111.69,50.0932082,19.9878511
310,Prądnik Czerwony,1106950,Bohomolca,85.2,12992.37,50.0932082,19.9878511
311,Prądnik Czerwony,690368,Reduta,43.2,15980.74,50.094068,19.9836333
312,Prądnik Czerwony,2193600,Reduta,137.1,16000.0,50.094068,19.9836333
313,Prądnik Czerwony,760540,Dominikanów,46.3,16426.35,50.0868664,19.9639605
314,Prądnik Czerwony,1282956,Dominikanów,87.3,14695.95,50.0868664,19.9639605
315,Stare Miasto,652428,Prandoty,34.5,18910.96,50.0784899,19.9494039
